name,amount
BARSZCZ,2766
GRUCA,2763
PIECHOCKA,2763
GÓRALCZYK,2762
SUDOŁ,2762
MACH,2761
WOJTASZEK,2756
MĄCZKA,2752
SZCZYGIELSKA,2752
CHROBAK,2750
KRAUZE,2750
DYMEK,2731
GARBACZ,2728
ZBOROWSKA,2726
CZARNOTA,2724
PISZCZEK,2723
PŁATEK,2722
WEBER,2721
BIELA,2714
ZAPAŁA,2708
JAROSZEWSKA,2707
LOREK,2707
BOJARSKA,2705
MATUSIK,2700
PASZEK,2699
BATOR,2692
KOPROWSKA,2690
OŻÓG,2690
FERENC,2689
FIGURA,2687
KOSTKA,2685
TRACZYK,2684
JAMRÓZ,2681
PISKORZ,2680
DZIKOWSKA,2679
WALCZYK,2668
SZPAK,2667
GABRYŚ,2665
WDOWIAK,2665
STĘPNIEWSKA,2663
SALA,2661
SZYMANIAK,2657
SMOLAREK,2655
OLEŚ,2653
DUTKIEWICZ,2651
GOŁĄBEK,2651
SUROWIEC,2650
ŁAWNICZAK,2648
ZARĘBSKA,2645
KOŁODZIEJCZAK,2643
PARADOWSKA,2643
PÓŁTORAK,2642
KEMPA,2639
GRYGIEL,2638
KOLASIŃSKA,2638
BURDA,2636
BARTOSIEWICZ,2633
BROŻEK,2631
OSUCH,2630
KOCHANOWSKA,2628
MULARCZYK,2627
DOLATA,2625
GRABSKA,2624
BŁAŻEJEWSKA,2623
GRELA,2623
BARTNICKA,2620
BERNAT,2617
ADAMCZEWSKA,2616
BARON,2616
WINNICKA,2616
STACHOWSKA,2614
CICHOSZ,2613
ZASADA,2607
WACHOWIAK,2605
WĄSOWSKA,2605
ZAWISZA,2605
KOZYRA,2604
LACHOWICZ,2603
MYŚLIWIEC,2603
DOLIŃSKA,2602
MODRZEJEWSKA,2602
MROWIEC,2599
ĆWIKLIŃSKA,2595
MIECZKOWSKA,2595
ZAWISTOWSKA,2593
ŁOŚ,2592
PLEWA,2585
ŚWITAŁA,2585
KOZERA,2582
PIĘTA,2581
GAJ,2579
STENCEL,2579
WIELGOSZ,2573
BIEL,2572
KULIKOWSKA,2572
OKOŃ,2572
GALIŃSKA,2570
TYMIŃSKA,2567
SZADKOWSKA,2562
GAZDA,2561
JEDYNAK,2559
BŁOŃSKA,2558
WALIGÓRA,2554
ZIMNA,2552
GAŁECKA,2551
KRASKA,2549
MORAWIEC,2546
MAJDA,2541
RÓG,2541
KOZICKA,2540
JASKÓLSKA,2539
WŁOCH,2537
BERNACKA,2535
BUREK,2533
BIAŁA,2531
NADOLSKA,2530
SZWEDA,2530
KAPICA,2529
DZIURA,2528
KOŚCIELNIAK,2525
SZCZEPANEK,2523
MUSIOŁ,2522
SARNOWSKA,2522
OZGA,2516
FIGIEL,2512
KLIMAS,2512
FRANCZAK,2511
SKWAREK,2507
BOROŃ,2504
ŁACH,2504
WILCZEWSKA,2501
SOBOCIŃSKA,2497
BIEŃ,2493
KRAUSE,2490
MIŚ,2487
LEMAŃSKA,2486
KOSTRZEWSKA,2485
FILIPCZAK,2482
NIEZGODA,2481
SKORUPSKA,2481
GOŁASZEWSKA,2480
PIETRZYKOWSKA,2478
GLIŃSKA,2477
MŁYNARSKA,2477
ANTONIAK,2475
