name,amount
DIONIZA,232
DOLORES,232
HERTA,231
SYNTIA,231
CAMILA,230
REBECCA,230
IZYDORA,229
CHANTAL,228
KATRIN,228
ROSE,225
BOGDA,224
CYNTHIA,223
RENA,223
AUGUSTA,222
ESTHER,222
WALBURGA,222
ADOLFA,221
YULIANA,221
ELIZAVETA,220
WINCENTA,220
ZBIGNIEWA,220
SOFIE,219
LYDIA,218
MARYAM,218
VLADA,217
ANAT,216
GRACE,216
FATMA,215
LEAH,215
ORYSIA,215
RUT,215
PAULINE,213
WALESKA,212
MARGARYTA,211
ROBERTA,211
AGATHA,210
YVONNE,209
ADOLFINA,208
NADJA,208
TAL,208
JAGIENKA,207
GABRIELLE,206
MARGOTA,205
FELICYTA,204
KAMELIA,204
PATRIZIA,204
KIARA,202
YAUHENIYA,202
MARYANA,200
NATALIJA,200
ZOSIA,200
REBEKA,199
NADIJA,198
VIRGINIA,198
VIVIANA,198
LUBOMIŁA,197
SUZANNE,197
KORYNA,196
ZARA,196
NOELIA,195
TEREZA,195
ELIF,194
BLANCA,193
ELMIRA,193
IEVGENIIA,192
LUCJANA,192
MILLA,192
DEBORAH,191
SALMA,191
NADIEŻDA,190
SHIRA,190
EDITH,189
FRYDA,188
KARLA,188
KRYSPINA,188
RAFAELA,188
SUZANNA,188
SUSANA,187
KAMILIA,185
LUDGARDA,185
RONI,185
SIMONE,185
ECATERINA,184
KASJANA,184
MERVE,184
KATERINA,182
STELA,182
VITTORIA,181
DANIELLE,180
DĄBRÓWKA,180
DENISE,180
ILIANA,180
INHA,180
STANISLAVA,180
THỊ,179
VIVIAN,179
ZEFIRYNA,178
TATJANA,176
EUFROZYNA,175
INEZA,175
ROMINA,175
ANNA-MARIA,174
KARINE,174
INESSA,173
ZUZANA,173
JENNY,172
AYA,171
DAMIANA,171
JULIETTE,171
CHANEL,170
EDMUNDA,170
SCARLETT,170
VALERIYA,170
BETTINA,169
DORA,169
ESTER,169
IMAN,169
SATURNINA,169
VANESA,169
BEATRIZ,168
LEONIDA,167
OLESYA,167
PALOMA,167
ZEYNEP,167
HENRIETA,166
KATHRIN,166
WALTRAUD,166
BIRUTA,165
FLORA,165
LUDOMIŁA,165
WALTRAUT,165
ELIGIA,164
IRIS,164
JULIETTA,164
NELI,164
HANIA,163
NORA,163
WISŁAWA,163
ANNETTE,162
INGEBORG,162
TATYANA,162
WIEŃCZYSŁAWA,162
EVELYN,161
CECILIA,160
IVANA,160
MARINE,160
ANNIKA,159
NADEJDA,159
SYLWINA,159
YASMINE,159
MARGARETE,158
EDELTRAUD,157
JOLA,157
KATRINA,157
ALBERTYNA,156
BELLA,156
CLAIRE,156
NADEZHDA,156
KATE,155
EMILIYA,153
IULIA,153
IWONKA,153
KAYLA,153
LUCIE,153
MALVINA,153
EDWINA,152
LOUISE,152
AFRODYTA,151
NICOLL,151
KELLY,150
AMBER,149
ANATOLA,149
DENISA,149
HANNELORE,149
ARYNA,148
HEIDI,148
KHAVA,148
KIM,147
RAQUEL,147
ZINA,147
ZYGFRYDA,147
ANATOLIA,145
AVA,145
JOSEPHINE,145
ŻAKLIN,145
CYNTIA,144
LANA,144
STEFANIIA,143
ANDŻELA,142
DARINA,141
HILDEGARD,141
KASIA,141
FRIDA,140
JULIETA,140
NEONILA,140
SABINE,140
DOMINIQUE,139
JUTA,139
KATJA,139
LILIAN,139
MARÍA,139
MARION,139
SYLWANA,139
CINDY,138
KORDULA,138
LIDA,138
MERCEDES,138
JUSTINE,137
MARGERITA,137
ANŻELIKA,136
FLORIANNA,136
LOLA,136
DAIANA,135
KOLETA,135
LÉA,135
LOLITA,135
WIWIANA,135
YUVAL,135
LAUREN,134
SEDA,134
HILARIA,133
KEREN,133
LENKA,133
NANCY,133
NILA,133
YASMINA,133
GEORGINA,132
ILANA,132
KRISTINE,132
EDELTRAUT,131
KAMA,130
LORETTA,130
ANN,129
MIHAELA,129
BEATRICE,128
JUDITH,128
