,IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
550,AKSANA,KOBIETA,448
551,NIKA,KOBIETA,448
552,EMA,KOBIETA,447
553,INGRIDA,KOBIETA,446
554,LILI,KOBIETA,444
555,FRYDERYKA,KOBIETA,443
556,SUSANNA,KOBIETA,441
557,BENIGNA,KOBIETA,438
558,VARVARA,KOBIETA,436
559,KATHARINA,KOBIETA,435
560,KAREN,KOBIETA,433
561,ZENAIDA,KOBIETA,427
562,KSENIYA,KOBIETA,424
563,CYRYLA,KOBIETA,423
564,LUCIA,KOBIETA,422
565,NARCYZA,KOBIETA,422
566,AGNES,KOBIETA,421
567,ELZA,KOBIETA,421
568,ELINA,KOBIETA,418
569,ANIDA,KOBIETA,417
570,AMINA,KOBIETA,414
571,ISMENA,KOBIETA,413
572,LAYLA,KOBIETA,413
573,HALSZKA,KOBIETA,412
574,TAISIIA,KOBIETA,412
575,NOA,KOBIETA,411
576,YAEL,KOBIETA,409
577,ROKSOLANA,KOBIETA,408
578,VALERYIA,KOBIETA,405
579,KSYMENA,KOBIETA,402
580,SCHOLASTYKA,KOBIETA,401
581,ANDŻELINA,KOBIETA,400
582,JACQUELINE,KOBIETA,400
583,ANGELICA,KOBIETA,397
584,JASMINE,KOBIETA,397
585,CHIARA,KOBIETA,394
586,RUTH,KOBIETA,394
587,ARIADNA,KOBIETA,393
588,JULIANA,KOBIETA,392
589,MARTHA,KOBIETA,392
590,LIANA,KOBIETA,390
591,WALTRAUDA,KOBIETA,388
592,BETINA,KOBIETA,387
593,LIZA,KOBIETA,387
594,HERMINA,KOBIETA,386
595,JELENA,KOBIETA,386
596,JESICA,KOBIETA,386
597,ALESIA,KOBIETA,383
598,ELVIRA,KOBIETA,383
599,CHRISTINE,KOBIETA,379
600,DELFINA,KOBIETA,377
601,LIA,KOBIETA,377
602,IWETTA,KOBIETA,376
603,KRYSTSINA,KOBIETA,371
604,TAISA,KOBIETA,371
605,TAMAR,KOBIETA,371
606,ALMA,KOBIETA,370
607,ANICETA,KOBIETA,366
608,DEBORA,KOBIETA,366
609,ALIONA,KOBIETA,361
610,BIBIANNA,KOBIETA,361
611,IWETA,KOBIETA,361
612,OTOLIA,KOBIETA,361
613,TINA,KOBIETA,361
614,CHRISTINA,KOBIETA,360
615,VITALINA,KOBIETA,360
616,GRACJA,KOBIETA,357
617,LUKRECJA,KOBIETA,356
618,MARGARET,KOBIETA,354
619,ADAMINA,KOBIETA,352
620,ISABELLE,KOBIETA,350
621,MARIJA,KOBIETA,350
622,PALINA,KOBIETA,348
623,MATILDA,KOBIETA,347
624,SAMIRA,KOBIETA,347
625,IANA,KOBIETA,345
626,NICOLETTA,KOBIETA,345
627,AMY,KOBIETA,341
628,MODESTA,KOBIETA,341
629,PAOLA,KOBIETA,341
630,RYTA,KOBIETA,341
631,HIACYNTA,KOBIETA,339
632,TAMILA,KOBIETA,339
633,THI,KOBIETA,339
634,VALERIA,KOBIETA,339
635,LUDWINA,KOBIETA,338
636,LUBOW,KOBIETA,337
637,STEPHANIE,KOBIETA,336
638,ILZA,KOBIETA,335
639,LIZAVETA,KOBIETA,334
640,MICHAL,KOBIETA,334
641,NADINE,KOBIETA,334
642,SZARLOTA,KOBIETA,334
643,ANNE,KOBIETA,332
644,LESYA,KOBIETA,331
645,FRANCESCA,KOBIETA,330
646,NADZEYA,KOBIETA,329
647,WINCENTYNA,KOBIETA,329
648,HIERONIMA,KOBIETA,327
649,ISABEL,KOBIETA,327
650,AIDA,KOBIETA,326
651,PRAKSEDA,KOBIETA,326
652,CHLOE,KOBIETA,325
653,GAIA,KOBIETA,325
654,KESJA,KOBIETA,324
655,ŻANNA,KOBIETA,322
656,VALIANTSINA,KOBIETA,320
657,VITALIIA,KOBIETA,320
658,ANDRZELIKA,KOBIETA,319
659,YULIA,KOBIETA,319
660,AMELIE,KOBIETA,317
661,ZOYA,KOBIETA,317
662,LUNA,KOBIETA,314
663,JULIE,KOBIETA,312
664,LUCJANNA,KOBIETA,312
665,LUCY,KOBIETA,311
666,AŁŁA,KOBIETA,310
667,OXANA,KOBIETA,309
668,WIELISŁAWA,KOBIETA,309
669,IRENE,KOBIETA,308
670,SERAFINA,KOBIETA,305
671,ARIANNA,KOBIETA,301
672,EMILIE,KOBIETA,301
673,RACHEL,KOBIETA,299
674,YASMIN,KOBIETA,295
675,HERONIMA,KOBIETA,294
676,WERA,KOBIETA,292
677,LUISA,KOBIETA,291
678,RACHELA,KOBIETA,291
679,NATALYA,KOBIETA,290
680,INGRYDA,KOBIETA,288
681,NELLI,KOBIETA,288
682,MARY,KOBIETA,287
683,SOFIJA,KOBIETA,287
684,ULYANA,KOBIETA,283
685,ELENI,KOBIETA,282
686,YARYNA,KOBIETA,282
687,KSAWERA,KOBIETA,281
688,ANIA,KOBIETA,280
689,AURELA,KOBIETA,280
690,EMILIIA,KOBIETA,280
691,ANDRIANA,KOBIETA,278
692,JOHANNA,KOBIETA,278
693,IRMGARD,KOBIETA,276
694,KAROLA,KOBIETA,276
695,ROZA,KOBIETA,275
696,LEONORA,KOBIETA,274
697,CARLA,KOBIETA,273
698,LARISSA,KOBIETA,273
699,SONJA,KOBIETA,273
700,ARLENA,KOBIETA,272
701,CAMILLA,KOBIETA,272
702,LEONA,KOBIETA,271
703,NASTAZJA,KOBIETA,270
704,SUSANNE,KOBIETA,270
705,ALESSANDRA,KOBIETA,269
706,VIVIENNE,KOBIETA,269
707,DORIS,KOBIETA,268
708,JOLENTA,KOBIETA,268
709,LAURENCJA,KOBIETA,267
710,MEGAN,KOBIETA,267
711,SWITŁANA,KOBIETA,266
712,ELIANA,KOBIETA,265
713,SHARON,KOBIETA,265
714,LEYLA,KOBIETA,264
715,ANJA,KOBIETA,263
716,LORENA,KOBIETA,262
717,MIRONA,KOBIETA,262
718,MADINA,KOBIETA,261
719,ADI,KOBIETA,260
720,DZIYANA,KOBIETA,260
721,KARMEN,KOBIETA,260
722,CORNELIA,KOBIETA,259
723,NASTASSIA,KOBIETA,258
724,HILDA,KOBIETA,257
725,KATIA,KOBIETA,257
726,MIKA,KOBIETA,257
727,ALESSIA,KOBIETA,255
728,ALOJZA,KOBIETA,254
729,LILLI,KOBIETA,254
730,PETRA,KOBIETA,254
731,WŁODZIMIERA,KOBIETA,253
732,ERWINA,KOBIETA,252
733,AMIRA,KOBIETA,251
734,ASTRID,KOBIETA,250
735,NINO,KOBIETA,247
736,AISHA,KOBIETA,246
737,LUDMILA,KOBIETA,246
738,MALIKA,KOBIETA,246
739,URSULA,KOBIETA,246
740,INESA,KOBIETA,244
741,FABIOLA,KOBIETA,239
742,ROSA,KOBIETA,238
743,TADEUSZA,KOBIETA,238
744,KRYSTIANA,KOBIETA,237
745,LIDIYA,KOBIETA,237
746,HELEN,KOBIETA,236
747,NASTIA,KOBIETA,236
748,KATARINA,KOBIETA,235
749,SUSAN,KOBIETA,235
750,GUSTAWA,KOBIETA,234
751,YELIZAVETA,KOBIETA,234
752,DIONIZA,KOBIETA,232
753,DOLORES,KOBIETA,232
754,HERTA,KOBIETA,231
755,SYNTIA,KOBIETA,231
756,CAMILA,KOBIETA,230
757,REBECCA,KOBIETA,230
758,IZYDORA,KOBIETA,229
759,CHANTAL,KOBIETA,228
760,KATRIN,KOBIETA,228
761,ROSE,KOBIETA,225
