name,amount
WŁADIMIR,162
ILAN,161
LUCIANO,161
DAVITI,160
LUCJUSZ,160
NIKOLOZ,160
ROMEO,160
KOBA,159
NICOLÁS,159
ANIL,158
JANIS,158
RENATO,158
MARAT,157
YEVGENIY,157
MELCHIOR,156
NIKA,156
VASILII,156
IGNACIO,155
TONI,155
EMILIO,154
FRANCO,154
MARCJAN,154
IBRAGIM,153
SŁAWOJ,153
ADRIEN,152
GIA,152
GIACOMO,152
GRYGORII,152
IURI,152
LYUBOMYR,152
OR,152
SIEGFRIED,152
ASAF,151
MAURICIO,151
YANN,151
ADNAN,150
ALEXANDROS,150
ANASTAZY,150
DAROSŁAW,150
DIETMAR,150
GLEB,150
ILIAS,150
LOGAN,150
YASIN,150
ROLF,149
ALAIN,148
BERTOLD,148
DITMAR,148
EUGENIU,148
GUILLERMO,148
HLEB,148
NILS,148
TIMO,148
ZVI,148
FARID,147
MILO,147
DRAGAN,146
HAKAN,146
HENRIK,146
QUANG,146
ASLAN,145
GIANLUCA,145
MALKHAZ,145
XAWIER,145
ERNST,144
GASPAR,144
MAGNUS,144
MARSEL,144
RAN,144
ZORAN,144
MUSA,143
YULIAN,143
CHAIM,142
DAREK,142
DOMINIQUE,142
FILIPPO,142
SHALVA,142
SŁAWOSZ,142
EMANUELE,141
GABRYEL,141
TOMMY,141
VSEVOLOD,141
THANH,140
DEZYDERIUSZ,139
GIL,139
KAMAL,139
NIKLAS,139
SHOTA,139
WILIBALD,139
ARIE,138
EVGHENI,138
GABOR,138
JAREK,138
MASSIMILIANO,138
ALEXIS,137
ASHOT,137
DANNY,137
TIGRAN,137
EGOR,136
GUSTAV,136
HUNG,136
JULIO,136
MURAD,136
RAJNHOLD,136
RAYMOND,136
TEIMURAZ,136
AVRAHAM,135
BARYS,135
BILAL,135
MARVIN,135
GERD,134
KYLE,134
RAFFAELE,134
SHAY,134
THEODORE,134
TUDOR,134
WEI,134
DARIAN,133
KHALID,133
ORLANDO,133
YONATAN,133
ABRAM,132
AKSEL,132
ANDRIJ,132
CHARLIE,132
CHRIS,132
GIORGIO,132
ADEL,131
AMIN,131
ENZO,131
JACQUES,131
KOSTAS,131
MAJKEL,131
RADU,131
BERNARDO,130
EVAN,130
OREN,130
THEODOR,130
ANH,129
ELAD,129
RADOMIŁ,129
ROŚCISŁAW,129
YUNUS,129
ZURABI,129
CAN,128
VLADIMER,128
ERAZM,127
IOAN,127
IZAAK,127
JUN,127
MARCELLO,127
PETAR,127
TUAN,127
DMITRIY,126
FATIH,126
ITAMAR,126
JASPER,126
POLIKARP,126
TOMMASO,126
BALTAZAR,125
GEORGII,125
RUSŁAN,125
SÉBASTIEN,125
TAMAZ,125
WALID,125
ADEM,124
DIMITAR,124
EMIN,124
GENNADIY,124
LIWIUSZ,124
MD,124
RAHUL,124
THIAGO,124
TOMIR,124
EUSTACHY,123
HENDRIK,123
RENAT,123
SHMUEL,123
GEVORG,122
ISMAEL,122
NEIL,122
SERGIEJ,122
ZVIAD,122
LEANDRO,121
MARIANO,121
SALIM,121
TEMUR,121
SYMEON,120
VĂN,120
BADRI,119
FREDERICK,119
JULIUS,119
MARCELIN,119
RAJAN,119
SHLOMO,119
STEFFEN,119
ATTILA,118
FRANÇOIS,118
OFER,118
RENARD,118
KAKHABER,117
ORHAN,117
SAMVEL,117
SERKAN,117
YOSEF,117
ANTEK,116
EDVARD,116
KARSTEN,116
MATTHIEU,116
YEVHENIY,116
EITAN,115
JAMAL,115
JAMIE,115
JESUS,115
LIONEL,115
VITAL,115
FREDERIC,114
AVTANDIL,113
CARSTEN,113
DEJAN,113
FRÉDÉRIC,113
HÜSEYIN,113
JIŘÍ,113
YONG,113
FABRIZIO,112
MAURIZIO,112
RAMZAN,112
ALEKSIEJ,111
ALFREDO,111
GERMAN,111
MARKIIAN,111
RAMAZAN,111
TOMISŁAW,111
DEEPAK,110
DUC,110
ILYAS,110
VOLKER,110
AKHMED,109
ANIS,109
ELI,109
GÖKHAN,109
KAKHA,109
KONSTIANTYN,109
MATAN,109
MIRKO,109
SASCHA,109
TOMEK,109
TSIMAFEI,109
WENDELIN,109
ARSENIUSZ,108
ASEN,108
BORYSŁAW,108
DEREK,108
MILOŠ,108
PER,108
PLATON,108
YANIV,108
ALWIN,107
CHRISTOF,107
HELIODOR,107
ISA,107
MERAB,107
NABIL,107
SEBASTIEN,107
ALEN,106
HRYHORIY,106
IULIAN,106
LUKASZ,106
NAZARIY,106
SYED,106
AIDEN,105
ILIE,105
IMRAN,105
KEMAL,105
LÉO,105
LUDWIG,105
MANOJ,105
OLECH,105
SANTINO,105
ILLYA,104
LILIAN,104
NICK,104
ORFEUSZ,104
RYHOR,104
YARON,104
EREZ,103
GARY,103
RAJNER,103
SYLWIN,103
TAMÁS,103
TORSTEN,103
UMAR,103
WOŁODYMYR,103
YURI,103
ADIL,102
ALISHER,102
ASSAF,102
DANILO,102
MUHAMMET,102
YAIR,102
ABEL,101
AVIV,101
HENRI,101
RALPH,101
ARNO,100
EZEQUIEL,100
GIVI,100
HUGON,100
MALIK,100
OLEXANDR,100
RAPHAËL,100
RENISŁAW,100
SALOMON,100
ARSENI,99
DOR,99
FLAVIO,99
GUILHERME,99
MASON,99
MAURICE,99
NELSON,99
SELIM,99
ALEC,98
FLORIN,98
PRAKASH,98
RAMAZ,98
SUNIL,98
BESIK,97
DEAN,97
DORIN,97
ENES,97
GAGIK,97
HAIM,97
MAXIMILIEN,97
RADZIMIR,97
RAJESH,97
AKAKI,96
ARI,96
AZIZ,96
HRISTO,96
KRASIMIR,96
LÁSZLÓ,96
MACIEK,96
MATSVEI,96
MAXWELL,96
MICHAIL,96
PYLYP,96
VENIAMIN,96
ZEEV,96
ZENOVII,96
ANATOLIUSZ,95
HEORHI,95
LEONIDAS,95
MEHDI,95
SAM,95
STSIAPAN,95
THIERRY,95
WIRGILIUSZ,95
YAKUP,95
DANILA,94
FAUSTYN,94
FRIEDRICH,94
GEORGES,94
GIGA,94
HERMANN,94
MATHEW,94
VITO,94
ANATOLIJ,93
ANDRÉS,93
ANDY,93
DORON,93
HOLGER,93
ITAI,93
ODED,93
SASZA,93
SHAHAR,93
TENGIZ,93
VLADLEN,93
ZBISŁAW,93
ADI,92
AIDAN,92
BART,92
CESAR,92
GIULIO,92
JÁN,92
NIKOLAJ,92
NIKOŁAJ,92
NOLAN,92
SAMER,92
SHAMIL,92
TIBOR,92
WŁODZISŁAW,92
ZAKARIA,92
ESTEBAN,91
FRANCOIS,91
