,Nazwisko aktualne;Liczba
709,BURY;3360
710,MIERZWA;3358
711,WOJTASIK;3350
712,WOŁOSZYN;3344
713,POLAŃSKA;3343
714,SOBOTA;3341
715,MACKIEWICZ;3339
716,STAWICKA;3338
717,KRUCZEK;3336
718,URBANOWICZ;3336
719,CZEKAJ;3334
720,PEŁKA;3332
721,SZUBA;3330
722,BANASZEK;3328
723,PIWOWARSKA;3328
724,KULIŃSKA;3327
725,BISKUP;3325
726,HERMAN;3324
727,KMIEĆ;3323
728,MILLER;3319
729,ROMAN;3317
730,LITWIN;3313
731,ŚWIĄTKOWSKA;3307
732,POGORZELSKA;3306
733,ŚMIGIELSKA;3295
734,KRASOWSKA;3293
735,GUT;3290
736,KAWECKA;3289
737,HOFFMANN;3287
738,ŚWIDER;3277
739,SCHMIDT;3262
740,GRUDZIŃSKA;3258
741,RATAJCZYK;3246
742,ROSZAK;3230
743,ALEKSANDROWICZ;3212
744,LORENC;3203
745,SKORUPA;3202
746,MAKUCH;3197
747,FURMAN;3195
748,WIŚNIOWSKA;3190
749,ŁUKASZEWICZ;3188
750,KWIATEK;3183
751,NAPIERAŁA;3181
752,IZDEBSKA;3177
753,ROSZKOWSKA;3177
754,JUSZCZYK;3176
755,BOGACZ;3168
756,SIWIEC;3164
757,SZWARC;3161
758,LISZKA;3160
759,WERNER;3160
760,PIĘTKA;3159
761,TOKARCZYK;3156
762,STUDZIŃSKA;3155
763,SZAREK;3154
764,SZOT;3152
765,KRUKOWSKA;3138
766,KAWKA;3127
767,JÓŹWIK;3123
768,KNAP;3122
769,JEZIORSKA;3112
770,TUROWSKA;3106
771,KRÓLAK;3099
772,KARCZ;3094
773,JAKUBCZYK;3093
774,WRZESIŃSKA;3086
775,PAPROCKA;3082
776,KUKLA;3078
777,ŻUCHOWSKA;3078
778,GACEK;3067
779,KĘDZIOR;3067
780,ROŻEK;3067
781,SIDOR;3067
782,WACH;3062
783,KRUSZYŃSKA;3058
784,BORYS;3054
785,GRODZKA;3052
786,LANGE;3050
787,BOBROWSKA;3048
788,KUSIAK;3042
789,CICHA;3035
790,MAŃKA;3033
791,KRASZEWSKA;3028
792,WOLNA;3023
793,SZELIGA;3017
794,NIEDZIELA;3015
795,MIELCAREK;3014
796,TKACZ;3013
797,ŚPIEWAK;3009
798,KOSMALA;3008
799,KORZENIEWSKA;3006
800,RUSEK;3006
801,GRABARCZYK;2986
802,KORCZAK;2986
803,SMOLEŃ;2984
804,GRZYBEK;2978
805,WOJDA;2978
806,MAZIARZ;2971
807,BOGDAŃSKA;2970
808,MAŁKOWSKA;2968
809,LIPIEC;2967
810,GĄSIOREK;2966
811,FILIP;2964
812,ROMAŃSKA;2963
813,RZEPECKA;2958
814,MAJKOWSKA;2950
815,SZYMANEK;2947
816,KOZAKIEWICZ;2943
817,PERKOWSKA;2943
818,RESZKA;2943
819,JAKUBIEC;2931
820,OLECH;2930
821,ROMANIUK;2930
822,PISAREK;2929
823,RADZISZEWSKA;2929
824,RYBKA;2929
825,STASZAK;2929
826,SZOPA;2929
827,ADAMIEC;2928
828,WASIELEWSKA;2928
829,WAJDA;2926
830,WAGNER;2923
831,PĘKALA;2922
832,POTOCKA;2922
833,SZKUDLAREK;2920
834,GŁADYSZ;2916
835,RACZKOWSKA;2915
836,NOWIŃSKA;2909
837,DROŻDŻ;2904
838,LEWIŃSKA;2904
839,PASZKIEWICZ;2904
840,ROGOZIŃSKA;2904
